Tên di tích,Địa điểm,Loại di tích,Đường dẫn hình ảnh,Mô tả
Nhà tù Côn Đảo,"Huyện Côn Đảo,tỉnh Bà Rịa – Vũng Tàu",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Nh%C3%A0_t%C3%B9_C%C3%B4n_%C4%90%E1%BA%A3o.JPG/250px-Nh%C3%A0_t%C3%B9_C%C3%B4n_%C4%90%E1%BA%A3o.JPG,"Nhà tù Côn Đảo là một khu nhà tù tại Côn Đảo.Hệ thống nhà tù này được người Pháp xây dựng để giam giữ những tù phạm đặc biệt nguy hiểm cho chế độ thực dân Pháp như:tù phạm chính trị,tử tù...Nơi đây thời Pháp thuộc đã giam giữ những nhân vật tham gia các phong trào cách mạng và những người ái quốc chống lại chính phủ thuộc địa,và sau đó lại được Mỹ sử dụng để giam cầm tù binh trong cuộc chiến chống Mỹ.Hiện nay,nơi đây đã được thủ tướng chính phủ Việt Nam đưa vào danh sách xếp hạng 23 di tích quốc gia đặc biệt.Địa điểm nổi tiếng nhất trong khu nhà tù này là ""chuồng cọp"".Đây là nơi ghi lại những hành động ngược đãi tù nhân nghiêm trọng của thực dân Pháp,quân đội Mỹ và chế độ Quốc gia Việt Nam/Việt Nam Cộng hòa."
Thành nhà Hồ,"Huyện Vĩnh Lộc,tỉnh Thanh Hóa","Di tích lịch sử,kiến trúc nghệ thuật,khảo cổ",https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/C%E1%BB%95ng_Nam.jpg/250px-C%E1%BB%95ng_Nam.jpg,"Thành nhà Hồ (hay còn gọi là thành Tây Đô,thành An Tôn,thành Tây Kinh hay thành Tây Giai) là kinh đô nước Đại Ngu (quốc hiệu của Việt Nam dưới thời nhà Hồ),nằm trên địa phận tỉnh Thanh Hóa.Đây là tòa thành kiên cố với kiến trúc độc đáo bằng đá có quy mô lớn hiếm hoi ở Việt Nam,có giá trị và độc đáo nhất,duy nhất còn lại ở tại Đông Nam Á và là một trong rất ít những thành lũy bằng đá còn lại trên thế giới.Thành được xây dựng trong thời gian ngắn,chỉ khoảng 3 tháng (từ tháng Giêng đến tháng 3 năm 1397) và cho đến nay,dù đã tồn tại hơn 6 thế kỷ nhưng một số đoạn của tòa thành này còn lại tương đối nguyên vẹn."
Văn Miếu - Quốc Tử Giám,"Quận Ba Đình và quận Đống Đa,thành phố Hà Nội","Di tích lịch sử,kiến trúc nghệ thuật",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Van_Mieu_Hanoi_3504185612_088052eb96_t.jpg/250px-Van_Mieu_Hanoi_3504185612_088052eb96_t.jpg,"Văn Miếu – Quốc Tử Giám là quần thể di tích đa dạng,phong phú hàng đầu của thành phố Hà Nội,nằm ở phía Nam kinh thành Thăng Long.Quần thể kiến trúc Văn Miếu – Quốc Tử Giám bao gồm:hồ Văn,khu Văn Miếu – Quốc Tử Giám và vườn Giám,mà kiến trúc chủ thể là Văn miếu (chữ Hán:文廟) - nơi thờ Khổng Tử,và Quốc tử giám (chữ Hán:國子監) - trường đại học đầu tiên của Việt Nam.Khu Văn Miếu – Quốc Tử Giám có tường gạch vồ bao quanh,phía trong chia thành 5 lớp không gian với các kiến trúc khác nhau.Mỗi lớp không gian đó được giới hạn bởi các tường gạch có 3 cửa để thông với nhau (gồm cửa chính giữa và hai cửa phụ hai bên).Từ ngoài vào trong có các cổng lần lượt là:cổng Văn Miếu,Đại Trung,Khuê Văn các,Đại Thành và cổng Thái Học.Với hơn 700 năm hoạt động đã đào tạo hàng nghìn nhân tài cho đất nước.Ngày nay,Văn Miếu – Quốc Tử Giám là nơi tham quan của du khách trong và ngoài nước đồng thời cũng là nơi khen tặng cho học sinh xuất sắc và còn là nơi tổ chức hội thơ hàng năm vào ngày rằm tháng giêng.Đặc biệt,đây còn là nơi các sĩ tử ngày nay đến ""cầu may"" trước mỗi kỳ thi quan trọng."
An toàn khu (ATK) Định Hóa,"Huyện Định Hóa,tỉnh Thái Nguyên",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/ATK_Dinh_Hoa.jpg/250px-ATK_Dinh_Hoa.jpg,"ATK,viết tắt của an toàn khu,là khu vực mà Quân đội nhân dân Việt Nam giành được quyền kiểm soát gần như tuyệt đối trong thời gian chiến tranh chống Pháp,Nhật,Mỹ.ATK có 2 cấp:xã An toàn khu và vùng An toàn khu."
Cổ Loa,"Huyện Đông Anh,thành phố Hà Nội","Di tích lịch sử,kiến trúc nghệ thuật,khảo cổ",https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Citadelle_de_C%E1%BB%95_Loa.jpg/250px-Citadelle_de_C%E1%BB%95_Loa.jpg,"Thành Cổ Loa là kinh đô của nhà nước Âu Lạc dưới thời An Dương Vương vào khoảng thế kỷ thứ 3 trước Công nguyên và của nhà nước phong kiến dưới thời Ngô Quyền thế kỷ 10 tại vùng đất xã Cổ Loa,huyện Đông Anh,Hà Nội."
Đền Trần và Chùa Phổ Minh,"Thành phố Nam Định,tỉnh Nam Định ,20,4554335°B 106,1659867°Đ","Di tích lịch sử,kiến trúc nghệ thuật",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/DenTran-NamDinh.JPG/180px-DenTran-NamDinh.JPG,"Đền Trần (陳廟 - Trần Miếu) là một quần thể đền thờ tại đường Trần Thừa,phường Lộc Vượng,thành phố Nam Định (sát quốc lộ 10),là nơi thờ các vua Trần cùng các quan lại có công phù tá nhà Trần.Đền Trần được xây dựng từ năm 1695,trên nền Thái miếu cũ của nhà Trần đã bị quân Minh phá hủy vào thế kỷ XV."
Bạch Đằng,"Thị xã Quảng Yên,thành phố Uông Bí,tỉnh Quảng Ninh",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/C%E1%BB%8Dc_B%E1%BA%A1ch_%C4%90%E1%BA%B1ng.jpg/180px-C%E1%BB%8Dc_B%E1%BA%A1ch_%C4%90%E1%BA%B1ng.jpg,"Sông Bạch Đằng là ranh giới giữa thành phố Hải Phòng và tỉnh Quảng Ninh ngày nay,gọi theo phiên âm chữ Nôm là Bạch Đằng Giang (白藤江).Từ Bạch (白) có nghĩa là trắng,từ Đằng (藤) có nghĩa là ""bụi cây quấn quýt"",tên Nôm là Dầng hay Rừng.Và ba từ ""Bạch Đằng Giang"",nghĩa là sông có ""rừng sóng bạc đầu"",mà gọi theo dân gian là sông Thần.Ngoài ra sông này còn có tên gọi khác thời Hậu Lê là Vân Cừ (澐渠),nghĩa là ""con sông nhỏ có sóng lớn"" hay ""nước chảy xoáy cuồn cuộn"",về sau là sông Thành Triền và ngày nay là sông Đá Bạc..."
Đền Phù Đổng,"Huyện Gia Lâm,thành phố Hà Nội","Di tích lịch sử,kiến trúc nghệ thuật",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/PhuDong_gate.jpg/180px-PhuDong_gate.jpg,"Đền Phù Đổng hay còn gọi là đền Gióng thờ Thánh Gióng - Phù Đổng Thiên Vương,nằm ở xã Phù Đổng,Gia Lâm,ngoại thành Hà Nội."
Hồ Hoàn Kiếm và Đền Ngọc Sơn,"Quận Hoàn Kiếm,thành phố Hà Nội","Di tích lịch sử,danh lam thắng cảnh",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/C%E1%BA%A7u_Th%C3%AA_H%C3%BAc_%28H%C3%A0_N%E1%BB%99i%29.jpg/180px-C%E1%BA%A7u_Th%C3%AA_H%C3%BAc_%28H%C3%A0_N%E1%BB%99i%29.jpg,"Hồ Hoàn Kiếm còn được gọi là Hồ Gươm là một hồ nước ngọt tự nhiên nằm ở quận Hoàn Kiếm,trung tâm thành phố Hà Nội.Hồ có diện tích khoảng 12 ha.Trước kia,hồ còn có các tên gọi là hồ Lục Thủy (vì nước có màu xanh quanh năm),hồ Thủy Quân (dùng để duyệt thủy binh),hồ Tả Vọng và Hữu Vọng (trong thời Lê mạt).Tên gọi Hoàn Kiếm xuất hiện vào đầu thế kỷ 15 gắn với truyền thuyết vua Lê Lợi trả lại gươm thần cho Rùa thần.Theo truyền thuyết,trong một lần vua Lê Thái Tổ dạo chơi trên thuyền,bỗng một con rùa vàng nổi lên mặt nước đòi nhà vua trả thanh gươm mà Long Vương cho mượn để đánh đuổi quân Minh xâm lược.Nhà vua liền trả gươm cho rùa thần và rùa lặn xuống nước biến mất.Từ đó hồ được lấy tên là hồ Hoàn Kiếm.Tên hồ còn được lấy để đặt cho một quận trung tâm của Hà Nội (quận Hoàn Kiếm) và là hồ nước duy nhất của quận này cho đến ngày nay."
Khu lăng mộ và đền thờ các vị vua triều Lý,"Thành phố Từ Sơn,tỉnh Bắc Ninh",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Ngulongmon2.JPG/250px-Ngulongmon2.JPG,"Đền Đô,tên chữ là Cổ Pháp điện,còn được gọi là Đền Lý Bát Đế,là một quần thể kiến trúc tín ngưỡng thờ tám vị vua đầu tiên của nhà Lý.Đền Đô đã được Nhà nước Việt Nam công nhận là di tích lịch sử - văn hóa theo Quyết định số 154 của Bộ Văn hóa - Thông tin (nay là Bộ Văn hóa,Thể thao và Du lịch) ngày 25 tháng 1 năm 1991.Năm 2014,nơi đây cùng với khu lăng mộ các Vua nhà Lý đã được xếp hạng di tích quốc gia đặc biệt."
Chùa Vĩnh Nghiêm,"Thành phố Bắc Giang,tỉnh Bắc Giang","Di tích lịch sử,kiến trúc nghệ thuật",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Ch%C3%B9a_V%C4%A9nh_Nghi%C3%AAm_-_Y%C3%AAn_D%C5%A9ng_-_B%E1%BA%AFc_Giang_-_panoramio_%2824%29.jpg/250px-Ch%C3%B9a_V%C4%A9nh_Nghi%C3%AAm_-_Y%C3%AAn_D%C5%A9ng_-_B%E1%BA%AFc_Giang_-_panoramio_%2824%29.jpg,"Chùa Vĩnh Nghiêm,còn được gọi là chùa Đức La,là một ngôi chùa cổ tại làng Đức La,xã Trí Yên,thành phố Bắc Giang,tỉnh Bắc Giang,Việt Nam.Chùa được công nhận là một trung tâm Phật giáo,nơi đào tạo tăng đồ cho cả nước,nơi phát tích Tam Tổ phái Thiền Trúc Lâm của Phật giáo Việt Nam.Năm 2015,chùa được công nhận là Di tích quốc gia đặc biệt."
