Tên di tích,Địa điểm,Loại di tích,Đường dẫn hình ảnh,Mô tả
Cố đô Hoa Lư,"Thành phố Hoa Lư,tỉnh Ninh Bình","Di tích lịch sử,kiến trúc nghệ thuật",https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Temple_comm%C3%A9moratif_au_roi_Dinh_Tien_Hoang_%28Hoa_Lu%29.jpg/250px-Temple_comm%C3%A9moratif_au_roi_Dinh_Tien_Hoang_%28Hoa_Lu%29.jpg,"Cố đô Hoa Lư (chữ Hán:華閭) là kinh đô của Việt Nam trong giai đoạn 968-1010.Đây là kinh đô đầu tiên của nhà nước phong kiến Trung ương tập quyền ở Việt Nam và là quê hương của vị Anh hùng dân tộc Đinh Bộ Lĩnh.Kinh đô Hoa Lư tồn tại 42 năm,gắn với sự nghiệp của ba triều đại liên tiếp là nhà Đinh,nhà Tiền Lê và nhà Lý với các dấu ấn lịch sử:thống nhất đất nước,đánh Tống - dẹp Chiêm và phát tích quá trình định đô Hà Nội.Năm 1010 vua Lý Thái Tổ dời kinh đô từ Hoa Lư (Ninh Bình) về Thăng Long (Hà Nội),Hoa Lư trở thành Cố đô.Các triều vua Lý,Trần,Lê,Nguyễn sau đó dù không đóng đô ở Hoa Lư nữa nhưng vẫn cho tu bổ và xây dựng thêm ở đây nhiều công trình kiến trúc như đền,lăng,đình,chùa,phủ,...Hiện nay,Cố đô Hoa Lư vẫn còn nhiều di tích nằm trong Quần thể di sản thế giới Tràng An thuộc địa bàn tỉnh Ninh Bình."
Khu lưu niệm Chủ tịch Tôn Đức Thắng tại Mỹ Hòa Hưng,"Thành phố Long Xuyên,tỉnh An Giang",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Nh%C3%A0_th%E1%BB%9Di_ni%C3%AAn_thi%E1%BA%BFu_c%E1%BB%A7a_T%C3%B4n_%C4%90%E1%BB%A9c_Th%E1%BA%AFng.jpg/250px-Nh%C3%A0_th%E1%BB%9Di_ni%C3%AAn_thi%E1%BA%BFu_c%E1%BB%A7a_T%C3%B4n_%C4%90%E1%BB%A9c_Th%E1%BA%AFng.jpg,"Khu lưu niệm Chủ tịch Tôn Đức Thắng tọa lạc trên cù lao Ông Hổ,thuộc xã Mỹ Hòa Hưng,thành phố Long Xuyên,tỉnh An Giang.Đây là một trong số 23 di tích Việt Nam đã được xếp hạng di tích quốc gia đặc biệt (ký ngày 10 tháng 5 năm 2012,công bố ngày 17 tháng 7 năm 2012)."
Căn cứ Trung ương cục miền Nam,"Huyện Tân Biên,tỉnh Tây Ninh",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Natural_landmark_without_photo.svg/250px-Natural_landmark_without_photo.svg.png,Cờ của Mặt trận Dân tộc Giải phóng miền Nam Việt Nam
Nhà tù Côn Đảo,"Huyện Côn Đảo,tỉnh Bà Rịa – Vũng Tàu",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Nh%C3%A0_t%C3%B9_C%C3%B4n_%C4%90%E1%BA%A3o.JPG/250px-Nh%C3%A0_t%C3%B9_C%C3%B4n_%C4%90%E1%BA%A3o.JPG,"Nhà tù Côn Đảo là một khu nhà tù tại Côn Đảo.Hệ thống nhà tù này được người Pháp xây dựng để giam giữ những tù phạm đặc biệt nguy hiểm cho chế độ thực dân Pháp như:tù phạm chính trị,tử tù...Nơi đây thời Pháp thuộc đã giam giữ những nhân vật tham gia các phong trào cách mạng và những người ái quốc chống lại chính phủ thuộc địa,và sau đó lại được Mỹ sử dụng để giam cầm tù binh trong cuộc chiến chống Mỹ.Hiện nay,nơi đây đã được thủ tướng chính phủ Việt Nam đưa vào danh sách xếp hạng 23 di tích quốc gia đặc biệt.Địa điểm nổi tiếng nhất trong khu nhà tù này là ""chuồng cọp"".Đây là nơi ghi lại những hành động ngược đãi tù nhân nghiêm trọng của thực dân Pháp,quân đội Mỹ và chế độ Quốc gia Việt Nam/Việt Nam Cộng hòa."
Những địa điểm Khởi nghĩa Yên Thế,"Huyện Yên Thế,huyện Việt Yên,huyện Tân Yên và thành phố Bắc Giang,tỉnh Bắc Giang",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Natural_landmark_without_photo.svg/250px-Natural_landmark_without_photo.svg.png,"Khu di tích khởi nghĩa Yên Thế gồm nhiều di tích liên quan đến cuộc khởi nghĩa Yên Thế.Khu di tích này đã được thủ tướng chính phủ Việt Nam đưa vào danh sách xếp hạng 23 di tích quốc gia đặc biệt.Trọng tâm của khu di tích khởi nghĩa Yên Thế thuộc huyện Yên Thế tỉnh Bắc Giang,cách Thành phố Bắc Giang 28 km về phía Tây Bắc theo đường tỉnh lộ 284."
Pác Bó,"Huyện Hà Quảng,tỉnh Cao Bằng",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/C%E1%BB%91c_B%C3%B3.jpg/180px-C%E1%BB%91c_B%C3%B3.jpg,"Khu di tích Pác Bó là một khu di tích lịch sử cách mạng quốc gia - đặc biệt của Việt Nam,thuộc bản Pác Bó,xã Trường Hà,huyện Hà Quảng,tỉnh Cao Bằng,cách trung tâm thành phố Cao Bằng 52 km về phía Bắc,là điểm đầu (km 0) của đường Hồ Chí Minh ."
Chiến khu Tân Trào,"Huyện Sơn Dương và huyện Yên Sơn,tỉnh Tuyên Quang",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/C%C3%A2y_%C4%90a_l%E1%BB%8Bch_s%E1%BB%AD_T%C3%A2n_Tr%C3%A0o.JPG/180px-C%C3%A2y_%C4%90a_l%E1%BB%8Bch_s%E1%BB%AD_T%C3%A2n_Tr%C3%A0o.JPG,"Chiến khu Tân Trào là khu di tích lịch sử của cách mạng Việt Nam thời kỳ Cách mạng tháng Tám.Hiện nay,nơi đây đã được thủ tướng chính phủ Việt Nam đưa vào danh sách xếp hạng 130 di tích quốc gia đặc biệt.Tân Trào là thủ đô lâm thời của khu giải phóng,nơi Đảng Cộng sản Việt Nam tiến hành hội nghị toàn quốc ngày 13 tháng 8 năm 1945 để quyết định tổng khởi nghĩa.Đại hội quốc dân đã họp tại đây ngày 16 tháng 8 năm 1945,thông qua 10 chính sách lớn của Việt Minh,bầu ra một chính phủ lâm thời do Hồ Chí Minh làm chủ tịch và quân giải phóng Việt Nam làm lễ ra quân."
Thành nhà Hồ,"Huyện Vĩnh Lộc,tỉnh Thanh Hóa","Di tích lịch sử,kiến trúc nghệ thuật,khảo cổ",https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/C%E1%BB%95ng_Nam.jpg/250px-C%E1%BB%95ng_Nam.jpg,"Thành nhà Hồ (hay còn gọi là thành Tây Đô,thành An Tôn,thành Tây Kinh hay thành Tây Giai) là kinh đô nước Đại Ngu (quốc hiệu của Việt Nam dưới thời nhà Hồ),nằm trên địa phận tỉnh Thanh Hóa.Đây là tòa thành kiên cố với kiến trúc độc đáo bằng đá có quy mô lớn hiếm hoi ở Việt Nam,có giá trị và độc đáo nhất,duy nhất còn lại ở tại Đông Nam Á và là một trong rất ít những thành lũy bằng đá còn lại trên thế giới.Thành được xây dựng trong thời gian ngắn,chỉ khoảng 3 tháng (từ tháng Giêng đến tháng 3 năm 1397) và cho đến nay,dù đã tồn tại hơn 6 thế kỷ nhưng một số đoạn của tòa thành này còn lại tương đối nguyên vẹn."
Tràng An - Tam Cốc - Bích Động,"Thành phố Hoa Lư,huyện Gia Viễn,huyện Nho Quan,tỉnh Ninh Bình",Danh lam thắng cảnh,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/%C4%90%C6%B0%E1%BB%9Dng_v%C3%A0o_Tam_C%E1%BB%91c_-_Ninh_B%C3%ACnh.JPG/180px-%C4%90%C6%B0%E1%BB%9Dng_v%C3%A0o_Tam_C%E1%BB%91c_-_Ninh_B%C3%ACnh.JPG,"Khu du lịch sinh thái Tràng An là một khu du lịch sinh thái nằm trong Quần thể di sản thế giới Tràng An thuộc tỉnh Ninh Bình.Nơi đây đã được Chính phủ Việt Nam xếp hạng di tích quốc gia đặc biệt quan trọng và UNESCO công nhận là di sản thế giới kép từ năm 2014.Tràng An với hệ thống dãy núi đá vôi có tuổi địa chất khoảng 250 triệu năm,qua thời gian dài phong hóa bởi sự biến đổi của Trái Đất,khí hậu,biển tiến,biển thoái đã mang trong mình hàng trăm thung lũng,hang động,hồ đầm.Danh thắng này là nơi bảo tồn và chứa đựng nhiều hệ sinh thái rừng ngập nước,rừng trên núi đá vôi,các di chỉ khảo cổ học và di tích lịch sử văn hóa.Hệ thống núi đá,sông suối,rừng và hang động ở Tràng An rất hiểm trở nên được Vua Đinh Tiên Hoàng chọn làm thành Nam bảo vệ kinh đô Hoa Lư ở thế kỷ X và sau đó Nhà Trần sử dụng làm hành cung Vũ Lâm trong kháng chiến Nguyên Mông.Hiện nay nơi đây còn nhiều di tích lịch sử thời Đinh và thời Trần."
Văn Miếu - Quốc Tử Giám,"Quận Ba Đình và quận Đống Đa,thành phố Hà Nội","Di tích lịch sử,kiến trúc nghệ thuật",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Van_Mieu_Hanoi_3504185612_088052eb96_t.jpg/250px-Van_Mieu_Hanoi_3504185612_088052eb96_t.jpg,"Văn Miếu – Quốc Tử Giám là quần thể di tích đa dạng,phong phú hàng đầu của thành phố Hà Nội,nằm ở phía Nam kinh thành Thăng Long.Quần thể kiến trúc Văn Miếu – Quốc Tử Giám bao gồm:hồ Văn,khu Văn Miếu – Quốc Tử Giám và vườn Giám,mà kiến trúc chủ thể là Văn miếu (chữ Hán:文廟) - nơi thờ Khổng Tử,và Quốc tử giám (chữ Hán:國子監) - trường đại học đầu tiên của Việt Nam.Khu Văn Miếu – Quốc Tử Giám có tường gạch vồ bao quanh,phía trong chia thành 5 lớp không gian với các kiến trúc khác nhau.Mỗi lớp không gian đó được giới hạn bởi các tường gạch có 3 cửa để thông với nhau (gồm cửa chính giữa và hai cửa phụ hai bên).Từ ngoài vào trong có các cổng lần lượt là:cổng Văn Miếu,Đại Trung,Khuê Văn các,Đại Thành và cổng Thái Học.Với hơn 700 năm hoạt động đã đào tạo hàng nghìn nhân tài cho đất nước.Ngày nay,Văn Miếu – Quốc Tử Giám là nơi tham quan của du khách trong và ngoài nước đồng thời cũng là nơi khen tặng cho học sinh xuất sắc và còn là nơi tổ chức hội thơ hàng năm vào ngày rằm tháng giêng.Đặc biệt,đây còn là nơi các sĩ tử ngày nay đến ""cầu may"" trước mỗi kỳ thi quan trọng."
Khu lưu niệm Chủ tịch Hồ Chí Minh tại Kim Liên,"Huyện Nam Đàn,tỉnh Nghệ An",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Kim_Lien_Monuments_Park.JPG/250px-Kim_Lien_Monuments_Park.JPG,"Khu di tích lịch sử Kim Liên là khu di tích tưởng niệm chủ tịch Hồ Chí Minh tại xã Kim Liên,huyện Nam Đàn,tỉnh Nghệ An thuộc vùng duyên hải miền Trung Việt Nam,cách thành phố Vinh khoảng 15 km theo quốc lộ 46 .Hiện nay,nơi đây đã được thủ tướng chính phủ Việt Nam đưa vào danh sách xếp hạng 23 di tích quốc gia đặc biệt."
An toàn khu (ATK) Định Hóa,"Huyện Định Hóa,tỉnh Thái Nguyên",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/ATK_Dinh_Hoa.jpg/250px-ATK_Dinh_Hoa.jpg,"ATK,viết tắt của an toàn khu,là khu vực mà Quân đội nhân dân Việt Nam giành được quyền kiểm soát gần như tuyệt đối trong thời gian chiến tranh chống Pháp,Nhật,Mỹ.ATK có 2 cấp:xã An toàn khu và vùng An toàn khu."
Côn Sơn - Kiếp Bạc,"Thành phố Chí Linh,tỉnh Hải Dương","Di tích lịch sử,kiến trúc nghệ thuật",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Den_kiep_bac.jpg/250px-Den_kiep_bac.jpg,"Khu di tích Côn Sơn – Kiếp Bạc là một di tích quốc gia đặc biệt quan trọng của Việt Nam.Quần thể di tích này thuộc địa bàn thành phố Chí Linh,tỉnh Hải Dương.Nơi đây gồm quần thể các di tích lịch sử liên quan đến những chiến công lẫy lừng trong ba lần quân dân nhà Trần đánh thắng quân xâm lược Mông Nguyên thế kỷ XIII và trong cuộc kháng chiến 10 năm của nghĩa quân Lam Sơn chống quân Minh ở thế kỷ XV.Đây là nơi gắn liền với thân thế,sự nghiệp của các vị anh hùng dân tộc như:Nguyễn Trãi,Trần Hưng Đạo cùng nhiều danh nhân văn hoá của dân tộc:Trần Nguyên Đán,Pháp Loa,Huyền Quang… Điểm nhấn của khu di tích này là chùa Côn Sơn và đền Kiếp Bạc."
Cổ Loa,"Huyện Đông Anh,thành phố Hà Nội","Di tích lịch sử,kiến trúc nghệ thuật,khảo cổ",https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Citadelle_de_C%E1%BB%95_Loa.jpg/250px-Citadelle_de_C%E1%BB%95_Loa.jpg,"Thành Cổ Loa là kinh đô của nhà nước Âu Lạc dưới thời An Dương Vương vào khoảng thế kỷ thứ 3 trước Công nguyên và của nhà nước phong kiến dưới thời Ngô Quyền thế kỷ 10 tại vùng đất xã Cổ Loa,huyện Đông Anh,Hà Nội."
Đền Trần và Chùa Phổ Minh,"Thành phố Nam Định,tỉnh Nam Định ,20,4554335°B 106,1659867°Đ","Di tích lịch sử,kiến trúc nghệ thuật",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/DenTran-NamDinh.JPG/180px-DenTran-NamDinh.JPG,"Đền Trần (陳廟 - Trần Miếu) là một quần thể đền thờ tại đường Trần Thừa,phường Lộc Vượng,thành phố Nam Định (sát quốc lộ 10),là nơi thờ các vua Trần cùng các quan lại có công phù tá nhà Trần.Đền Trần được xây dựng từ năm 1695,trên nền Thái miếu cũ của nhà Trần đã bị quân Minh phá hủy vào thế kỷ XV."
Bạch Đằng,"Thị xã Quảng Yên,thành phố Uông Bí,tỉnh Quảng Ninh",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/C%E1%BB%8Dc_B%E1%BA%A1ch_%C4%90%E1%BA%B1ng.jpg/180px-C%E1%BB%8Dc_B%E1%BA%A1ch_%C4%90%E1%BA%B1ng.jpg,"Sông Bạch Đằng là ranh giới giữa thành phố Hải Phòng và tỉnh Quảng Ninh ngày nay,gọi theo phiên âm chữ Nôm là Bạch Đằng Giang (白藤江).Từ Bạch (白) có nghĩa là trắng,từ Đằng (藤) có nghĩa là ""bụi cây quấn quýt"",tên Nôm là Dầng hay Rừng.Và ba từ ""Bạch Đằng Giang"",nghĩa là sông có ""rừng sóng bạc đầu"",mà gọi theo dân gian là sông Thần.Ngoài ra sông này còn có tên gọi khác thời Hậu Lê là Vân Cừ (澐渠),nghĩa là ""con sông nhỏ có sóng lớn"" hay ""nước chảy xoáy cuồn cuộn"",về sau là sông Thành Triền và ngày nay là sông Đá Bạc..."
Yên Tử,"Thành phố Uông Bí,thành phố Đông Triều,tỉnh Quảng Ninh","Di tích lịch sử,danh lam thắng cảnh",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Ch%C3%B9a_Hoa_Y%C3%AAn.jpg/250px-Ch%C3%B9a_Hoa_Y%C3%AAn.jpg,"Quần thể di tích và danh thắng Yên Tử – Vĩnh Nghiêm – Côn Sơn,Kiếp Bạc bao gồm 32 địa điểm thuộc 5 khu di tích trên địa bàn 3 tỉnh:Bắc Giang,Hải Dương và Quảng Ninh ở Đông Bắc Việt Nam."
Lam Kinh,"Huyện Thọ Xuân và huyện Ngọc Lặc,tỉnh Thanh Hóa","Di tích lịch sử,kiến trúc nghệ thuật",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Khuditichlamkinh.jpg/180px-Khuditichlamkinh.jpg,"Khu di tích lịch sử Lam Kinh cách thành phố Thanh Hóa 50 km về phía Tây Bắc,nằm trên địa bàn thị trấn Lam Sơn,huyện Thọ Xuân,tỉnh Thanh Hóa.Đây là một di tích lịch sử quốc gia cấp từ năm 1962.Năm 2012,khu di tích này được công nhận là di tích quốc gia đặc biệt."
Khu lưu niệm Nguyễn Du,"Huyện Nghi Xuân,tỉnh Hà Tĩnh",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Natural_landmark_without_photo.svg/250px-Natural_landmark_without_photo.svg.png,"Di tích là dấu vết của quá khứ còn lưu lại trong lòng đất hoặc trên mặt đất có ý nghĩa về mặt văn hóa và lịch sử"".Ở Việt Nam,một di tích khi đủ các điều kiện sẽ được công nhận theo thứ tự:di tích cấp tỉnh,di tích cấp quốc gia và di tích quốc gia đặc biệt.Di tích quốc gia đặc biệt là những di tích Việt Nam có giá trị đặc biệt tiêu biểu của quốc gia.Di tích quốc gia đặc biệt do Thủ tướng Chính phủ quyết định xếp hạng trên cơ sở lựa chọn các di tích quan trọng đã được Bộ Văn hóa,Thể thao và Du lịch xếp hạng là di tích quốc gia,lần xếp hạng đầu tiên là vào năm 2009."
Chùa Keo,"Huyện Vũ Thư,tỉnh Thái Bình",Di tích kiến trúc nghệ thuật,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Chuakeothaibinh.jpg/250px-Chuakeothaibinh.jpg,Chùa Keo là tên gọi của một số ngôi chùa cổ ở Việt Nam.Một số ngôi chùa Keo cổ được biết đến nhiều nhất là:
